PostcodeID;PostCodePK;PostCode;PostcodeNummers;PostcodeLetters;Straat;MinNummer;MaxNummer;Plaats;Gemeente;Provincie
5136;7313AK_2;7313AK;7313;AK;Eikenlaan;2;10;Apeldoorn;Apeldoorn;Gelderland
5137;1056CZ_477;1056CZ;1056;CZ;Hoofdweg;477;493;Amsterdam;Amsterdam;Noord-Holland
5138;2724PK_2;2724PK;2724;PK;Madelieventuin;2;30;Zoetermeer;Zoetermeer;Zuid-Holland
5139;1768BX_2;1768BX;1768;BX;Poolland;2;40;Barsingerhorn;Hollands Kroon;Noord-Holland
5140;2451CR_41;2451CR;2451;CR;Vriezekoop;41;77;Leimuiden;Kaag en Braassem;Zuid-Holland
5141;8921NR_30;8921NR;8921;NR;Tjerk Hiddesstraat;30;54;Leeuwarden;Leeuwarden;Friesland
5142;3894AL_1;3894AL;3894;AL;Rosendael;1;22;Zeewolde;Zeewolde;Flevoland
5143;4124AP_1;4124AP;4124;AP;Gasperdenstraat;1;22;Hagestein;Vianen;Utrecht
5144;1018AE_225;1018AE;1018;AE;Sarphatistraat;225;233;Amsterdam;Amsterdam;Noord-Holland
5145;5406VX_1;5406VX;5406;VX;Hoefstraat;1;7;Uden;Uden;Noord-Brabant
5146;1671PG_10;1671PG;1671;PG;Poelweg;10;12;Medemblik;Medemblik;Noord-Holland
5147;3034HP_100;3034HP;3034;HP;Crooswijkseweg;100;140;Rotterdam;Rotterdam;Zuid-Holland
5148;6811DD_3;6811DD;6811;DD;Zwanenstraat;3;27;Arnhem;Arnhem;Gelderland
5149;7255LC_7;7255LC;7255;LC;Lankhorsterstraat;7;33;Hengelo (Gld);Bronckhorst;Gelderland
5150;7935AA_1;7935AA;7935;AA;Kralo+½rweg;1;12;Eursinge;De Wolden;Drenthe
5151;5423TK_1;5423TK;5423;TK;Pelgrimsweg;1;39;Handel;Gemert-Bakel;Noord-Brabant
5152;8315RL_3;8315RL;8315;RL;Weteringweg;3;26;Luttelgeest;Noordoostpolder;Flevoland
5153;4817WD_30;4817WD;4817;WD;Heusdenhoutsestraat;30;94;Breda;Breda;Noord-Brabant
5154;1862HT_38;1862HT;1862;HT;Wetering;38;82;Bergen (NH);Bergen (NH.);Noord-Holland
5155;7434RA_97;7434RA;7434;RA;Oerdijk;97;123;Lettele;Deventer;Overijssel
